,artist,year,song,danceability
124,Michael Jackson,2001,You Rock My World,0.854
125,Eve,2001,Let Me Blow Ya Mind,0.908
126,Jennifer Lopez,2001,Ain't It Funny,0.707
127,Brandy,2002,Another Day in Paradise - R&B-Version,0.7
128,Nickelback,2001,How You Remind Me,0.446
129,Daft Punk,2001,One More Time,0.613
130,Outkast,2000,Ms. Jackson,0.843
131,Fragma,2001,Everytime You Need Me - Radio Version,0.682
132,Mariah Carey,2001,Loverboy,0.721
133,Dido,1999,Thank You,0.725
134,Joe,2000,Stutter (feat. Mystikal) - Double Take Remix,0.767
135,P.O.D.,2001,Youth of the Nation,0.563
136,Jennifer Lopez,2001,Play,0.775
137,Missy Elliott,2001,Get Ur Freak On,0.797
138,Ricky Martin,2008,Nobody Wants to Be Lonely (with Christina Aguilera),0.635
139,Christina Milian,2001,AM To PM,0.872
140,Roger Sanchez,2000,Another Chance,0.61
141,Gorillaz,2001,Clint Eastwood,0.663
142,2Pac,2001,Until The End Of Time,0.757
143,Tamia,2000,Stranger in My House,0.676
144,Mary J. Blige,2001,No More Drama,0.653
145,Jennifer Lopez,2001,Love Don't Cost a Thing,0.786
146,Jamiroquai,2001,Little L,0.878
147,Case,2001,Missing You,0.612
148,112,2001,Peaches & Cream,0.677
149,Five,2001,Let's Dance - Radio Edit,0.631
150,Rui Da Silva,2001,Touch Me (Radio Edit) [feat. Cassandra],0.464
151,Alien Ant Farm,2001,Smooth Criminal,0.653
152,Erick Sermon,2001,Music (feat. Marvin Gaye),0.897
153,D12,2001,Purple Pills,0.78
154,Usher,2016,Pop Ya Collar - Radio Edit,0.888
155,Madonna,2000,Don't Tell Me,0.699
156,Blue,2001,If You Come Back,0.582
157,Atomic Kitten,2001,Eternal Flame - Single Version,0.578
158,Jagged Edge,2001,Where the Party At (feat. Nelly),0.596
159,Afroman,2001,Because I Got High,0.802
160,S Club 7,2001,Don't Stop Movin',0.822
161,Craig David,2000,Fill Me In,0.682
162,Nelly Furtado,2000,Turn Off The Light,0.587
163,The Supermen Lovers,2001,Starlight - Radio Edit,0.739
164,Mis-Teeq,2004,All I Want - Sunship Radio Edit,0.795
165,Jagged Edge,2000,Promise,0.751
166,S Club 7,2001,Have You Ever,0.585
167,Enya,2000,Only Time,0.418
168,Faith Hill,2001,There You'll Be,0.321
169,Ronan Keating,2000,Lovin' Each Day,0.541
170,Destiny's Child,2001,Bootylicious,0.84
171,Steps,2000,It's the Way You Make Me Feel,0.573
172,Sunshine Anderson,2001,Heard It All Before,0.697
173,Lenny Kravitz,2000,Again,0.55
174,Daniel Bedingfield,2002,Gotta Get Thru This - D'N'D Radio Edit,0.836
175,DB Boulevard,2018,Point Of View - Radio Edit,0.676
176,Janet Jackson,2001,All For You,0.753
177,Atomic Kitten,2001,Whole Again,0.747
178,Ja Rule,2001,Livin' It Up,0.874
179,Destiny's Child,2001,"Independent Women, Pt. 1",0.73
180,DJ Pied Piper & The Masters Of Ceremonies,2001,Do You Really Like It? - Radio Edit,0.847
181,Jennifer Lopez,2001,I'm Real (feat. Ja Rule) - Murder Remix,0.708
182,Musiq Soulchild,2000,Love,0.569
183,So Solid Crew,2001,21 Seconds,0.607
184,Robbie Williams,2001,Eternity,0.469
185,Basement Jaxx,2001,Romeo,0.713
186,Ludacris,2000,Southern Hospitality (Featuring Pharrell),0.623
187,Gabrielle,2001,Rise,0.558
188,Nelly,2000,Ride Wit Me,0.85
189,Trick Daddy,2001,I'm a Thug,0.933
190,Travis,2001,Sing,0.33
191,JAY-Z,2001,Izzo (H.O.V.A.),0.618
192,Gabrielle,2001,Out Of Reach,0.51
193,OPM,2000,Heaven Is a Halfpipe (If I Die),0.743
194,K-Ci & JoJo,2019,Crazy,0.68
195,Staind,2001,It's Been Awhile,0.509
196,3LW,2000,No More (Baby I'ma Do Right),0.721
197,Ginuwine,2001,Differences,0.562
198,*NSYNC,2001,Gone,0.699
199,Lifehouse,2000,Hanging By A Moment,0.537
200,Nelly,2002,Dilemma,0.727
201,Eminem,2002,Without Me,0.908
202,Avril Lavigne,2002,Complicated,0.585
203,Vanessa Carlton,2002,A Thousand Miles,0.56
204,The Calling,2001,Wherever You Will Go,0.558
205,Shakira,2001,Underneath Your Clothes,0.616
206,No Doubt,2001,Underneath It All,0.729
207,Truth Hurts,2002,Addictive,0.701
208,Busta Rhymes,2002,I Know What You Want (feat. Flipmode Squad),0.648
209,Eminem,2002,'Till I Collapse,0.548
210,Diddy,2004,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",0.713
211,Christina Milian,2001,When You Look At Me - Radio Edit,0.955
212,Madonna,2003,Die Another Day,0.792
213,Jennifer Lopez,2002,I'm Gonna Be Alright (feat. Nas),0.718
214,Angie Martinez,2019,If I Could Go! (feat. Lil' Mo & Sacario),0.583
215,Linkin Park,2000,In the End,0.556
216,Las Ketchup,2002,The Ketchup Song (Aserejé) - Spanglish Version,0.607
217,Aaliyah,2019,Rock The Boat,0.641
218,Holly Valance,2002,Kiss Kiss,0.705
219,Sugababes,2002,Round Round,0.74
220,Marilyn Manson,2003,Tainted Love,0.622
221,Brandy,2002,What About Us?,0.686
222,Chad Kroeger,2003,Hero (feat. Josey Scott),0.427
223,Britney Spears,2001,Overprotected - Radio Edit,0.682
224,Scooter,2013,The Logical Song,0.527
225,Missy Elliott,2001,4 My People (feat. Eve),0.969
226,Aaliyah,2002,More Than A Woman,0.646
227,Brandy,2002,Full Moon,0.611
228,Blue,2002,One Love,0.683
229,Busta Rhymes,2001,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,0.697
230,Céline Dion,2001,A New Day Has Come - Radio Remix,0.574
231,Scooter,2013,Nessaja,0.486
232,Eve,2002,Gangsta Lovin',0.723
233,Disturbing Tha Peace,2002,Move Bitch,0.777
234,Khia,2015,"My Neck, My Back (Lick It)",0.859
235,Tweet,2002,Oops (Oh My) [feat. Missy Elliott],0.66
236,Kylie Minogue,2000,Spinning Around,0.761
237,Nelly,2002,Hot In Herre,0.956
238,Gareth Gates,2003,Anyone of Us (Stupid Mistake),0.7
239,Christina Aguilera,2002,Dirrty (feat. Redman),0.64
240,B2K,2002,Uh Huh,0.855
241,Sugababes,2002,Freak Like Me,0.517
242,Dirty Vegas,2002,Days Go By,0.786
243,Fat Joe,2001,What's Luv? (feat. Ja-Rule & Ashanti),0.835
244,Liberty X,2019,Just A Little,0.786
245,No Doubt,2001,Hella Good,0.771
246,LL Cool J,2002,Luv U Better,0.668
247,Red Hot Chili Peppers,2002,Can't Stop,0.618
248,Musiq Soulchild,2002,Halfcrazy,0.412
249,Sean Paul,2002,Gimme the Light,0.778
250,Faith Evans,2001,I Love You,0.489
251,Charli Baltimore,2002,Down 4 U,0.64
252,Kylie Minogue,2001,Love at First Sight,0.603
253,N.O.R.E.,2002,Nothin',0.791
254,Gareth Gates,2003,Unchained Melody,0.368
255,Diddy,2005,I Need a Girl (Pt. 1) [feat. Usher & Loon],0.66
256,Big Brovaz,2001,Nu Flow,0.783
257,No Doubt,2001,Hey Baby,0.705
258,Ashanti,2002,Baby,0.567
259,Sophie Ellis-Bextor,2002,Murder On The Dancefloor,0.734
260,Justin Timberlake,2002,Like I Love You,0.853
261,Mary J. Blige,2001,Rainy Dayz,0.412
262,A1,2001,Caught in the Middle,0.519
263,Eminem,2002,Cleanin' Out My Closet,0.908
264,Ashanti,2002,Happy,0.727
265,Delta Goodrem,2003,Born to Try,0.542
